date,temp_max,temp_min,precipitation,rain,weather_code
2020-02-23,12.0,-0.9,0.0,0.0,3
2020-02-24,6.3,0.1,0.3,0.3,51
2020-02-25,2.0,0.8,3.1,1.4,73
2020-02-26,0.6,-1.9,6.0,0.0,73
2020-02-27,-0.4,-5.9,0.0,0.0,3
2020-02-28,-1.2,-8.5,0.0,0.0,3
2020-02-29,3.0,-9.4,0.0,0.0,0
2020-03-01,14.1,-3.3,0.0,0.0,3
2020-03-02,9.2,0.1,0.0,0.0,3
2020-03-03,9.4,-1.3,0.3,0.3,51
2020-03-04,6.8,0.7,1.3,0.5,73
2020-03-05,10.7,-1.7,0.0,0.0,3
2020-03-06,5.9,-0.4,0.4,0.3,71
2020-03-07,9.1,-6.1,0.0,0.0,2
2020-03-08,15.5,2.5,0.0,0.0,3
2020-03-09,12.6,8.4,6.5,6.5,61
2020-03-10,11.6,1.4,11.1,11.1,63
2020-03-11,8.6,-0.7,0.1,0.0,71
2020-03-12,15.1,2.0,0.0,0.0,3
2020-03-13,11.4,0.3,0.3,0.3,51
2020-03-14,5.4,0.0,1.7,0.0,73
2020-03-15,2.2,-0.6,0.4,0.0,73
2020-03-16,4.6,-1.1,1.0,0.8,71
2020-03-17,5.2,0.3,0.0,0.0,3
2020-03-18,7.6,0.6,9.9,9.9,63
2020-03-19,13.8,2.1,10.9,10.9,63
2020-03-20,15.9,1.1,11.0,11.0,63
2020-03-21,0.3,-2.4,0.0,0.0,3
2020-03-22,2.2,-3.8,1.4,0.0,73
2020-03-23,4.7,0.3,5.0,0.0,73
2020-03-24,4.6,-1.8,0.0,0.0,3
2020-03-25,15.2,-1.5,0.0,0.0,3
2020-03-26,10.0,3.3,7.1,7.1,63
2020-03-27,8.5,2.2,1.7,1.7,53
2020-03-28,14.2,5.8,13.0,13.0,63
2020-03-29,17.7,6.2,3.0,3.0,61
2020-03-30,8.9,4.4,0.0,0.0,3
2020-03-31,3.9,1.9,0.0,0.0,3
2020-04-01,7.2,1.9,0.0,0.0,3
2020-04-02,7.6,0.7,0.0,0.0,3
2020-04-03,14.8,4.5,0.1,0.1,51
